,bg_geoid,hc_pop_total,hc_hu_total,hc_workers_textile_apparel,hc_workers_eat_drink,hc_workers_other_retail,hc_workers_other_service,hc_workers_education,hc_workers_other_mfg,hc_workers_total,hc_families_income_below_1k,hc_families_total,hc_families_nw_income_below_1k,hc_families_nw_total,area_acres,zh_FAR,zh_USE_1,zh_USE_2,zh_USE_3,zh_USE_4,zh_USE_5,zh_USE_6,zh_USE_7,zh_USE_8,zh_USE_9,zh_USE_10,zh_USE_11,zh_USE_12,zh_USE_13,zh_USE_14,zh_USE_15,zh_USE_16,zh_USE_17,zh_USE_18,census_tract,name,oi_kid_stay_share,cbd_distance_miles
0,360050001000,3014.4294786779587,733.2357948164009,63.36069871735786,39.60616277256617,75.30969724498571,31.516376536700022,22.199626999576143,181.09065077583915,914.2346680541514,11.960665784926505,618.1141704828893,1.5992281235461392,36.2044501705804,2780.374186888709,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005000100,,,96.73652111883715
1,360050001001,3014.7313799228864,733.8392198020692,63.4208216317212,39.59994019817687,75.38633778286915,31.513471509317654,22.205661437757687,181.2743072020729,914.8296908336526,11.97194650411347,618.4967274275324,1.5978804200292158,36.173232050665554,2779.871050378007,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005000100,,,96.73338482391861
2,360050002000,874.3406919224905,326.5039686102245,8.687669771136234,7.5391808142699865,32.41649452740955,1.989703878680611,8.049479338670613,56.91937273226938,329.88714292189826,7.513406625415127,222.53198556048733,1.3090617942782448,3.574926609169423,278.0663081158299,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000200,"Bronx County, NY",0.2176,8.013142416500898
3,360050002001,1901.27783413092,544.5772081353437,29.166872902323878,22.636861804005996,59.01769539532884,16.809785462503005,9.75330999894697,88.8261056894669,584.948180935668,20.310192469139004,453.27623950767673,6.027506517322053,95.79531039120396,793.4574726549979,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000200,"Bronx County, NY",0.2176,8.089716293513689
4,360050002002,2004.2054446679408,566.0438251630312,31.022291465926564,23.908135983818656,61.743843769234616,17.882604904914462,10.127776690973413,95.41321095947883,622.3205618974271,21.768095807295595,478.50707528554625,6.709184596919783,102.65174537454955,688.4705958711965,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000200,"Bronx County, NY",0.2176,8.072366183492523
5,360050002003,1261.9819330772689,397.59951207043304,16.714936754153428,13.488372976904738,41.725930238292555,7.790761455259915,9.161516841651991,70.02195054587146,425.48575249804276,12.05877262723995,308.36906240202023,3.362324377095625,41.77832752606728,609.9192092404934,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000200,"Bronx County, NY",0.2176,7.983101048657365
6,360050004000,783.972296720037,322.2263645569592,6.485826597241857,8.678022920236204,33.40845297493184,2.231780337127233,4.778516237499715,50.72111876521783,293.5225420362536,6.414717734674417,198.2823121276208,0.4994596756410761,1.190256877727646,307.91411769949934,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000400,"Bronx County, NY",0.2557,8.019636551915934
7,360050004001,1697.2632030935983,531.3609832419185,25.541516830486565,20.53100913499384,55.888577607926294,15.19197716596823,9.252705730589668,81.53174295068106,535.409628026153,16.60669373607666,408.5857687344867,4.850877633102962,77.58437544766754,940.5926142467638,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000400,"Bronx County, NY",0.2557,8.168449439006137
8,360050004002,1245.3461422952785,393.80006674732647,17.347054644456346,13.859665110833035,41.93082671184233,8.453907375073886,8.245292550160094,65.50032109239582,412.2247566580455,11.90302952017631,303.5042563204511,3.163665598209281,43.78761203977029,733.2648162383202,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000400,"Bronx County, NY",0.2557,8.053746438176596
9,360050004003,825.1993520526495,314.3629800603318,8.088793124092179,7.5405745230785755,31.83359315885,1.9465844426265833,7.212479237736401,54.341732931997484,309.9782950330105,6.994768231106819,209.57867622027646,1.1212419721186238,3.2634567332630895,397.16901829019747,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000400,"Bronx County, NY",0.2557,8.016101724223626
10,360050004004,770.0354499845646,429.0562478830955,10.856743701669682,10.2857028258732,32.89209473849836,7.889501324452327,5.199882627350095,35.90799260563006,249.82385985030095,2.0398704910711496,194.09203739193893,0.15803609402801477,17.0454395687699,298.01172096356254,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005000400,"Bronx County, NY",0.2557,8.603112916522123
