"","county_fips","naics","count_sg","count_cbp","naics_factor"
"1","10001","22",9,14,"22"
"2","10001","31-33",16,74,"31-33"
"3","10001","42",15,148,"42"
"4","10001","44-45",566,596,"44-45"
"5","10001","48-49",22,127,"48-49"
"6","10001","51",34,138,"51"
"7","10001","52",144,212,"52"
"8","10001","53",67,177,"53"
"9","10001","54",29,430,"54"
"10","10001","56",21,217,"56"
"11","10001","61",88,46,"61"
"12","10001","62",377,453,"62"
"13","10001","71",89,102,"71"
"14","10001","72",313,313,"72"
"15","10001","81",318,353,"81"
"16","10003","11",1,9,"11"
"17","10003","22",10,39,"22"
"18","10003","23",16,1259,"23"
"19","10003","31-33",71,359,"31-33"
"20","10003","42",47,796,"42"
"21","10003","44-45",1911,1956,"44-45"
"22","10003","48-49",89,437,"48-49"
"23","10003","51",101,392,"51"
"24","10003","52",667,1406,"52"
"25","10003","53",189,808,"53"
"26","10003","54",137,2256,"54"
"27","10003","56",80,967,"56"
"28","10003","61",281,245,"61"
"29","10003","62",1421,1699,"62"
"30","10003","71",287,288,"71"
"31","10003","72",1224,1287,"72"
"32","10003","81",1215,1398,"81"
"33","10005","11",1,14,"11"
"34","10005","22",2,12,"22"
"35","10005","23",1,720,"23"
"36","10005","31-33",4,138,"31-33"
"37","10005","42",6,208,"42"
"38","10005","44-45",243,1054,"44-45"
"39","10005","48-49",11,195,"48-49"
"40","10005","51",10,90,"51"
"41","10005","52",45,254,"52"
"42","10005","53",23,309,"53"
"43","10005","54",9,496,"54"
"44","10005","56",8,333,"56"
"45","10005","61",24,29,"61"
"46","10005","62",109,601,"62"
"47","10005","71",20,108,"71"
"48","10005","72",91,679,"72"
"49","10005","81",122,498,"81"
"50","11001","22",2,69,"22"
"51","11001","23",47,480,"23"
"52","11001","31-33",93,113,"31-33"
"53","11001","42",40,376,"42"
"54","11001","44-45",2219,1694,"44-45"
"55","11001","48-49",183,174,"48-49"
"56","11001","51",189,864,"51"
"57","11001","52",567,1068,"52"
"58","11001","53",214,1425,"53"
"59","11001","54",153,5930,"54"
"60","11001","56",123,1087,"56"
"61","11001","61",623,653,"61"
"62","11001","62",1900,2225,"62"
"63","11001","71",849,417,"71"
"64","11001","72",3205,2827,"72"
"65","11001","81",1880,4347,"81"
"66","12001","11",2,17,"11"
"67","12001","22",7,7,"22"
"68","12001","23",4,503,"23"
"69","12001","31-33",25,166,"31-33"
"70","12001","42",40,203,"42"
"71","12001","44-45",937,901,"44-45"
"72","12001","48-49",35,95,"48-49"
"73","12001","51",61,122,"51"
"74","12001","52",243,320,"52"
"75","12001","53",95,373,"53"
"76","12001","54",76,871,"54"
"77","12001","55",3,30,"55"
"78","12001","56",40,381,"56"
"79","12001","61",151,124,"61"
"80","12001","62",681,855,"62"
"81","12001","71",233,107,"71"
"82","12001","72",647,616,"72"
"83","12001","81",612,597,"81"
"84","12005","22",2,8,"22"
"85","12005","23",4,611,"23"
"86","12005","31-33",21,101,"31-33"
"87","12005","42",36,176,"42"
"88","12005","44-45",972,752,"44-45"
"89","12005","48-49",29,108,"48-49"
"90","12005","51",32,69,"51"
"91","12005","52",211,241,"52"
"92","12005","53",103,317,"53"
"93","12005","54",62,452,"54"
"94","12005","55",2,18,"55"
"95","12005","56",75,262,"56"
"96","12005","61",84,29,"61"
"97","12005","62",444,540,"62"
"98","12005","71",169,70,"71"
"99","12005","72",669,507,"72"
"100","12005","81",544,392,"81"
"101","12009","22",8,24,"22"
"102","12009","23",18,1681,"23"
"103","12009","31-33",57,453,"31-33"
"104","12009","42",106,520,"42"
"105","12009","44-45",2321,2000,"44-45"
"106","12009","48-49",86,291,"48-49"
"107","12009","51",109,239,"51"
"108","12009","52",535,758,"52"
"109","12009","53",323,918,"53"
"110","12009","54",167,1936,"54"
"111","12009","55",3,44,"55"
"112","12009","56",115,1027,"56"
"113","12009","61",243,179,"61"
"114","12009","62",1275,1640,"62"
"115","12009","71",476,208,"71"
"116","12009","72",1357,1211,"72"
"117","12009","81",1415,1358,"81"
"118","12011","11",1,42,"11"
"119","12011","22",5,39,"22"
"120","12011","23",91,4995,"23"
"121","12011","31-33",350,1365,"31-33"
"122","12011","42",216,4446,"42"
"123","12011","44-45",8805,7039,"44-45"
"124","12011","48-49",441,1821,"48-49"
"125","12011","51",491,1056,"51"
"126","12011","52",2439,3652,"52"
"127","12011","53",2087,4203,"53"
"128","12011","54",708,10872,"54"
"129","12011","55",7,340,"55"
"130","12011","56",533,4157,"56"
"131","12011","61",969,943,"61"
"132","12011","62",5535,6747,"62"
"133","12011","71",1751,1088,"71"
"134","12011","72",5033,4238,"72"
"135","12011","81",5376,5201,"81"
"136","12015","22",1,15,"22"
"137","12015","23",5,586,"23"
"138","12015","31-33",17,76,"31-33"
"139","12015","42",34,129,"42"
"140","12015","44-45",862,593,"44-45"
"141","12015","48-49",25,89,"48-49"
"142","12015","51",38,48,"51"
"143","12015","52",215,205,"52"
"144","12015","53",152,333,"53"
"145","12015","54",54,393,"54"
"146","12015","55",1,11,"55"
"147","12015","56",35,291,"56"
"148","12015","61",51,30,"61"
"149","12015","62",464,498,"62"
"150","12015","71",157,57,"71"
"151","12015","72",400,300,"72"
"152","12015","81",502,418,"81"
"153","12017","23",5,328,"23"
"154","12017","31-33",6,56,"31-33"
"155","12017","42",11,83,"42"
"156","12017","44-45",451,417,"44-45"
"157","12017","48-49",20,51,"48-49"
"158","12017","51",18,41,"51"
"159","12017","52",97,168,"52"
"160","12017","53",44,172,"53"
"161","12017","54",39,238,"54"
"162","12017","55",1,3,"55"
"163","12017","56",17,189,"56"
"164","12017","61",38,19,"61"
"165","12017","62",237,394,"62"
"166","12017","71",72,33,"71"
"167","12017","72",182,226,"72"
"168","12017","81",290,310,"81"
"169","12019","22",1,5,"22"
"170","12019","23",6,572,"23"
"171","12019","31-33",10,74,"31-33"
"172","12019","42",23,93,"42"
"173","12019","44-45",683,566,"44-45"
"174","12019","48-49",22,122,"48-49"
"175","12019","51",37,60,"51"
"176","12019","52",135,185,"52"
"177","12019","53",92,231,"53"
"178","12019","54",57,436,"54"
"179","12019","55",1,16,"55"
"180","12019","56",29,253,"56"
"181","12019","61",94,56,"61"
"182","12019","62",450,525,"62"
"183","12019","71",112,49,"71"
"184","12019","72",353,307,"72"
"185","12019","81",462,424,"81"
"186","12021","11",1,20,"11"
"187","12021","22",1,16,"22"
"188","12021","23",15,1754,"23"
"189","12021","31-33",61,213,"31-33"
"190","12021","42",54,370,"42"
"191","12021","44-45",1857,1471,"44-45"
"192","12021","48-49",63,238,"48-49"
"193","12021","51",73,161,"51"
"194","12021","52",498,693,"52"
"195","12021","53",339,1254,"53"
"196","12021","54",102,1636,"54"
"197","12021","55",2,35,"55"
"198","12021","56",133,1070,"56"
"199","12021","61",120,117,"61"
"200","12021","62",964,1152,"62"
"201","12021","71",327,240,"71"
"202","12021","72",979,880,"72"
"203","12021","81",970,1223,"81"
"204","12027","42",1,14,"42"
"205","12027","44-45",2,71,"44-45"
"206","12027","51",1,7,"51"
"207","12027","52",2,22,"52"
"208","12027","54",2,38,"54"
"209","12027","61",1,4,"61"
"210","12027","62",3,45,"62"
"211","12027","71",2,6,"71"
"212","12027","72",2,39,"72"
"213","12027","81",3,57,"81"
"214","12031","11",1,22,"11"
"215","12031","22",10,13,"22"
"216","12031","23",48,2803,"23"
"217","12031","31-33",162,602,"31-33"
"218","12031","42",155,1209,"42"
"219","12031","44-45",4604,3335,"44-45"
"220","12031","48-49",195,1149,"48-49"
"221","12031","51",235,444,"51"
"222","12031","52",1169,1595,"52"
"223","12031","53",615,1523,"53"
"224","12031","54",390,3322,"54"
"225","12031","55",10,199,"55"
